Date,Price,Open,High,Low,Change
2016-01-26,1.0871,1.085,1.0875,1.0819,0.002
2016-01-27,1.0893,1.0871,1.0917,1.0851,0.002
2016-01-28,1.0939,1.0891,1.0969,1.0869,0.0042
2016-01-29,1.0837,1.0938,1.0951,1.0812,-0.0093
2016-02-01,1.0888,1.0833,1.0915,1.0814,0.0047
2016-02-02,1.0919,1.0892,1.0944,1.0886,0.0028
2016-02-03,1.1104,1.0917,1.1146,1.0903,0.0169
2016-02-04,1.1208,1.1104,1.124,1.107,0.0094
2016-02-05,1.1159,1.1209,1.1246,1.111,-0.0044
2016-02-08,1.1198,1.1159,1.1218,1.1087,0.0035
2016-02-09,1.1293,1.1197,1.1339,1.1163,0.0085
2016-02-10,1.129,1.1292,1.1311,1.1159,-0.0003
2016-02-11,1.1324,1.1292,1.1378,1.1274,0.003
2016-02-12,1.126,1.1328,1.1335,1.1215,-0.0057
2016-02-15,1.1155,1.1251,1.1253,1.1127,-0.0093
2016-02-16,1.1144,1.1155,1.1196,1.1123,-0.001
2016-02-17,1.1128,1.1143,1.118,1.1104,-0.0014
2016-02-18,1.1107,1.113,1.1153,1.1072,-0.0019
2016-02-19,1.1134,1.1107,1.114,1.1067,0.0024
2016-02-22,1.1029,1.1128,1.1137,1.1003,-0.0094
2016-02-23,1.102,1.1031,1.1055,1.0991,-0.0008
2016-02-24,1.1013,1.1019,1.1047,1.0957,-0.0006
2016-02-25,1.1023,1.1014,1.1052,1.0987,0.0009
2016-02-26,1.0934,1.102,1.1071,1.0913,-0.0081
2016-02-29,1.0873,1.0932,1.0964,1.0858,-0.0056
2016-03-01,1.0867,1.0873,1.0896,1.0835,-0.0006
2016-03-02,1.0868,1.0868,1.0881,1.0825,0.0001
2016-03-03,1.0957,1.0867,1.0974,1.0853,0.0082
2016-03-04,1.1004,1.0958,1.1045,1.0903,0.0043
2016-03-07,1.1014,1.1008,1.1027,1.094,0.0009
2016-03-08,1.1011,1.1014,1.1059,1.0992,-0.0003
2016-03-09,1.0999,1.1012,1.1037,1.0946,-0.0011
2016-03-10,1.1177,1.0998,1.1218,1.0821,0.0162
2016-03-11,1.1153,1.1177,1.1212,1.1081,-0.0021
2016-03-14,1.1106,1.1151,1.1177,1.1076,-0.0042
2016-03-15,1.1109,1.11,1.1125,1.1071,0.0003
2016-03-16,1.1225,1.111,1.1245,1.1058,0.0104
2016-03-17,1.1319,1.1224,1.1344,1.1205,0.0084
2016-03-18,1.127,1.1319,1.1339,1.1257,-0.0043
2016-03-21,1.1241,1.127,1.1286,1.1235,-0.0026
2016-03-22,1.1217,1.1245,1.1263,1.119,-0.0021
2016-03-23,1.1184,1.1218,1.1224,1.1158,-0.0029
2016-03-24,1.1174,1.1179,1.1188,1.1143,-0.0009
2016-03-25,1.1166,1.1176,1.1189,1.1153,-0.0007
2016-03-28,1.1196,1.1164,1.1221,1.1154,0.0027
2016-03-29,1.1291,1.1198,1.1305,1.1168,0.0085
2016-03-30,1.1338,1.129,1.1366,1.1281,0.0042
2016-03-31,1.138,1.1338,1.1413,1.1309,0.0037
2016-04-01,1.1387,1.138,1.1439,1.1334,0.0006
2016-04-04,1.1392,1.1393,1.1414,1.1357,0.0004
2016-04-05,1.1384,1.1389,1.1406,1.1336,-0.0007
2016-04-06,1.1399,1.1384,1.1434,1.1327,0.0013
2016-04-07,1.1377,1.1398,1.1455,1.1337,-0.0019
2016-04-08,1.1401,1.1379,1.1421,1.1349,0.0021
2016-04-11,1.1408,1.1407,1.1448,1.1373,0.0006
2016-04-12,1.1386,1.1408,1.1466,1.1347,-0.0019
2016-04-13,1.1274,1.1385,1.1393,1.1266,-0.0098
2016-04-14,1.1268,1.1274,1.1296,1.1234,-0.0005
2016-04-15,1.1283,1.1271,1.132,1.1246,0.0013
2016-04-18,1.1314,1.1297,1.1334,1.1274,0.0027
2016-04-19,1.1358,1.1314,1.1387,1.1302,0.0039
2016-04-20,1.1297,1.1356,1.1388,1.1288,-0.0054
2016-04-21,1.1288,1.1297,1.1396,1.1272,-0.0008
2016-04-22,1.1234,1.1291,1.1312,1.122,-0.0048
2016-04-25,1.1266,1.1231,1.128,1.1216,0.0028
2016-04-26,1.1299,1.1264,1.1339,1.1255,0.0029
2016-04-27,1.1321,1.1298,1.1363,1.1274,0.0019
2016-04-28,1.1353,1.132,1.137,1.1296,0.0028
2016-04-29,1.1456,1.1354,1.1461,1.1335,0.0091
2016-05-02,1.1532,1.1447,1.1539,1.1446,0.0066
2016-05-03,1.1497,1.1533,1.1616,1.1495,-0.003
2016-05-04,1.1487,1.1496,1.153,1.1467,-0.0009
2016-05-05,1.1405,1.1486,1.1496,1.1385,-0.0071
2016-05-06,1.1405,1.1408,1.1479,1.1387,0
2016-05-09,1.1383,1.1401,1.1422,1.1375,-0.0019
2016-05-10,1.1372,1.1385,1.1413,1.1361,-0.001
2016-05-11,1.1427,1.1373,1.1448,1.1368,0.0048
2016-05-12,1.1377,1.1426,1.1434,1.1368,-0.0044
2016-05-13,1.1308,1.1378,1.1383,1.1284,-0.0061
2016-05-16,1.132,1.1311,1.1345,1.1302,0.0011
2016-05-17,1.1314,1.1321,1.135,1.1303,-0.0005
2016-05-18,1.1217,1.1313,1.1327,1.1212,-0.0086
2016-05-19,1.1203,1.1216,1.123,1.1179,-0.0012
2016-05-20,1.1224,1.1204,1.1239,1.1194,0.0019
2016-05-23,1.1219,1.1218,1.1246,1.1187,-0.0004
2016-05-24,1.1141,1.1219,1.1228,1.113,-0.007
2016-05-25,1.1155,1.1141,1.1169,1.1128,0.0013
2016-05-26,1.1194,1.1154,1.1218,1.1144,0.0035
2016-05-27,1.1115,1.1193,1.1201,1.1107,-0.0071
2016-05-30,1.1146,1.1117,1.1148,1.1099,0.0028
2016-05-31,1.1132,1.1138,1.1176,1.1123,-0.0013
2016-06-01,1.1188,1.1133,1.1198,1.1114,0.005
2016-06-02,1.1151,1.1189,1.1221,1.1142,-0.0033
2016-06-03,1.1367,1.1152,1.1377,1.1136,0.0194
2016-06-06,1.1355,1.1353,1.1396,1.1328,-0.0011
2016-06-07,1.1358,1.1355,1.1382,1.1338,0.0003
2016-06-08,1.1394,1.1358,1.1412,1.1349,0.0032
2016-06-09,1.1316,1.1399,1.1417,1.1305,-0.0068
2016-06-10,1.1251,1.1317,1.1329,1.1245,-0.0057
2016-06-13,1.1292,1.1253,1.1304,1.1233,0.0036
2016-06-14,1.1208,1.1293,1.1304,1.1188,-0.0074
2016-06-15,1.1259,1.1205,1.1299,1.119,0.0046
2016-06-16,1.1226,1.126,1.1298,1.1132,-0.0029
2016-06-17,1.1277,1.1226,1.1299,1.1221,0.0045
2016-06-20,1.1314,1.1285,1.1386,1.1284,0.0033
2016-06-21,1.1242,1.1312,1.1351,1.1241,-0.0064
2016-06-22,1.1297,1.1242,1.1339,1.1236,0.0049
2016-06-23,1.1388,1.1298,1.1424,1.1297,0.0081
2016-06-24,1.1117,1.1392,1.1434,1.0911,-0.0238
2016-06-27,1.1026,1.1072,1.1087,1.0972,-0.0082
2016-06-28,1.1066,1.1025,1.1112,1.1007,0.0036
2016-06-29,1.1125,1.1065,1.1131,1.1048,0.0053
2016-06-30,1.1105,1.1124,1.1157,1.1023,-0.0018
2016-07-01,1.1136,1.1104,1.1169,1.107,0.0028
2016-07-04,1.1156,1.1142,1.1166,1.1097,0.0018
